ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R1,6154.773457022728,181700.0753092071,196884,198555,209916,194510,200974,214160,200302,198470,232572,195726,191747,191763,215191,205930,185481,177532,211492,213433,207789,189630,6869.45609866892,196702.34273179344,6215.108163389519,207416.20829346534,173081,176206,207157,187990,163748,211657,174318,198830,219913,200012,208375,200987,194358,201286,199983,189801,200001,188579,179058,220600,5688.073153810077,193811.707169614
R2,6257.226497737863,200011.23768375217,212135,122281,209819,84817,191237,167676,204544,189181,212731,192546,294426,191700,225331,214060,220593,203476,217087,211729,198867,192185,5882.684889149285,203862.34541597727,7387.139850525592,203852.59602204044,207029,186923,197620,228823,209073,208446,185065,216450,214563,215570,191684,199764,201144,209197,222333,206963,191358,220441,223359,195457,5687.251736041597,199928.08947390234
R3,7384.8362852611235,221478.92328949337,209773,184047,203742,184763,216476,197360,169651,212275,179331,201071,175101,197245,195198,298739,218955,185860,194114,188542,124751,189624,7246.17234511582,207381.4460184986,6542.981805190256,208022.8819306975,192384,204217,204893,199616,199073,209170,191107,202413,192939,197487,205274,227622,202119,207074,215600,211051,206616,190017,191609,194114,5982.366953325201,185295.5868762671
R4,6706.168844645046,207249.132009817,193302,236474,198721,184733,187972,201158,199198,192996,215516,189452,165293,204343,181035,217790,199708,192591,196737,184485,218041,222886,7808.327090111852,211256.47393218873,5959.310855889697,190802.0179818434,201569,205195,185984,203687,196352,210136,187469,193100,211344,219175,194086,188041,201035,190718,171374,202117,206294,218082,216960,200896,7850.236284504084,205146.92804211832
R5,6824.470787573118,195175.8419612864,210154,202433,202410,195408,206814,191693,282013,231797,206750,196638,206247,188068,107967,202676,208830,204308,209852,197562,189245,199673,6802.599894382187,193936.01781226232,7050.057831844519,191301.12334831263,198494,224933,203200,197760,209537,204034,201882,200393,195753,219677,209364,188636,222170,170384,206243,201836,204714,229933,190270,155676,6923.50868634537,191265.64380863498
R6,5642.678888648101,195955.06758235078,194218,206109,226224,188994,190911,228991,205438,204042,206804,205024,214826,217283,219890,196986,164289,220950,217777,201353,198992,213429,6735.341957565461,205875.6376307206,6897.638095211786,176130.6596907573,194561,195994,205339,204143,204337,208374,206046,187966,198437,203058,260066,209164,198856,183149,54971,208373,208810,221117,186886,189178,6359.926223512158,211052.42239456394
R7,6054.854021946418,195045.33985810168,208736,197540,176891,195533,192996,195912,182778,186331,189508,176941,203091,221221,136717,203074,203287,208778,222587,195233,219940,195663,7066.953344757029,184960.27210875478,7292.37423729322,195108.78427135356,202742,205674,178991,189633,191687,193973,189108,194381,185244,184109,201180,223948,207042,106973,175138,209266,199166,202050,216299,193982,7178.998631493086,196233.00195554065
R8,7174.020684328738,195487.5316135442,204327,172987,282233,214473,209467,183481,210362,199250,200912,187028,199199,137731,232858,230211,192382,208361,190803,205997,174887,198280,5079.903684818039,192158.86392864052,5527.93088817979,192654.9422606287,189681,206571,212209,192166,191353,190393,207220,199755,179649,204778,219647,184341,195769,212083,179318,197227,205702,220483,203176,202203,6606.653868906687,187024.9803043358
R9,6713.210939500832,202733.5515475297,181929,194224,189606,166033,193773,172172,214417,222889,225383,201942,189003,182651,173968,199164,203577,199714,201789,183759,221283,187694,6319.656180180647,204653.62782103455,6352.306635752707,203775.20494325418,210069,209526,223648,211474,209964,203516,187757,207390,215596,200510,224979,199587,202835,212445,226390,206622,204930,204494,209761,225230,6473.198737446355,199068.68915810873
R10,5849.56781688228,216901.7388785962,221545,178298,192618,201570,212266,185781,161854,214753,229860,195731,196079,194942,200416,181904,181208,211728,212145,196554,204739,206254,5776.963512443451,198333.23594037394,6525.564144578346,205845.8153026615,193472,181696,192193,202553,211783,203694,209577,193175,185197,201387,180675,207228,210523,204979,206381,203385,186527,201407,195784,185797,7397.114393922658,194486.27980298287
R11,6535.283308722172,220142.7408911041,191272,196298,177224,206112,205671,232226,202644,201972,180440,221722,192630,130597,223808,184865,178678,220150,215115,197323,216105,215790,6001.201152717494,195043.44705893198,7609.903065211642,200028.8889494603,209475,169796,209875,198479,206844,212196,223287,198984,180534,184190,202935,193424,189203,211898,212324,206767,180761,192084,185262,197572,6770.215632058354,212260.349644839
R12,6021.087022275637,194685.40322387425,181770,206711,222901,230024,200940,203745,193917,172157,204803,189592,188279,211847,188501,204513,200396,199092,183107,220172,213841,204543,5989.092580635349,194011.42857814892,5304.770098613077,193935.4141756723,202230,224822,198209,188924,207243,195503,212150,220447,196526,228252,192527,193914,205801,191586,199678,183328,184713,195106,182502,213479,6650.177585840424,194009.9595368475
R13,6356.521317658755,193921.5269865362,202841,211077,193579,211539,204988,209867,202038,210791,170085,200849,193957,199150,207257,201031,191476,191971,186206,184092,66626,202356,6535.467343225903,196770.35222146736,5409.801147338205,217517.57901466434,199996,195913,192365,195902,211350,201026,197869,179203,197079,200321,203247,206203,177558,173185,222269,197929,207842,211662,202042,208389,6540.077444794119,206518.8236526323
R14,5560.706113688166,184595.688326143,177212,207138,199409,217096,202209,208011,220669,209508,211823,76624,189891,176483,190528,204155,201160,211991,204651,205328,190680,185153,6918.017007913829,215018.41093352716,5966.467493005749,204326.52628903528,208267,201496,176500,225130,215489,187263,193932,184846,199949,211027,184486,203392,201078,192125,199314,243052,202753,198317,213582,175983,5763.165617667454,205631.48169098035
R15,7126.245389444188,197754.38877158583,199850,184509,205371,181163,198086,204031,199131,199300,196044,210733,218124,223176,210060,203576,23399,204561,202102,206300,186098,188703,6833.3306575833,191774.73897971283,6815.725283220218,198521.76905665264,179769,218852,183348,195278,146861,159634,209526,187712,201664,206277,199427,215315,194183,212833,189910,223322,211627,189658,194442,218803,7042.390477015914,203888.3930097603
