ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R1,6174.228830765444,187493.14235604083,211526,205900,197694,209756,201435,174091,205579,196761,204813,208347,211597,205923,204272,188041,22728,209555,203601,219435,217615,185052,6312.317901930988,197516.1045570584,7352.39749405367,204518.57015226744,201474,200286,196480,194982,181161,197725,192781,215357,197041,197989,179152,209947,194000,186203,217071,203895,171212,217931,191115,214939,6202.888729702749,192315.36025313425
R2,6368.174828007372,197641.02024970052,190814,200780,216758,214997,185684,203572,199878,201356,198175,182754,208372,197970,208768,200263,190639,210733,195651,218758,204666,206792,5155.939013360953,209068.70502543345,6818.247310059997,172117.00103773217,182889,186060,177975,207386,181170,218036,199000,215912,190735,188441,195652,186413,203695,182409,188063,218847,186405,124364,189268,176972,5639.900866300807,188939.41090382534
R3,6958.5428602369975,193278.88594770854,215258,197533,217146,191428,200699,198098,184296,194705,186234,192012,203523,169934,208062,195987,180891,225828,170912,190614,199789,185287,6256.059490420796,207065.24508174512,6738.7696175655265,198777.80491429017,166410,194904,206679,200964,204993,216771,170108,218195,202148,185304,187054,273077,185158,201300,206479,213675,173037,197378,222796,199594,8011.860451695786,200124.36180531012
R4,6105.651589139777,185389.89679542618,186948,210031,213270,208650,175096,195469,194506,200694,223320,184593,213273,206714,187451,219922,198940,215055,223228,190356,181611,216709,6280.577147884927,197063.66957079145,6657.828876341729,197659.30854367488,198663,194468,201933,165055,199270,194721,217146,215495,216468,218852,188359,182905,163857,207454,196201,200278,175840,188487,198990,194260,7174.6956440727645,204589.29651811527
R5,5918.575535284559,201540.3458611574,204239,185185,217024,195054,164089,209650,190217,190350,229037,190626,186747,297238,210835,217333,195876,209609,201474,194047,198074,209406,7289.153248519782,197938.76759034855,6349.357780228707,210782.89813004018,190290,194116,196667,195513,169213,222711,181473,181810,197755,207520,216800,236051,208221,196112,186647,213788,228358,157936,184711,191491,7019.664881192479,220809.6181506588
R6,5408.355024589643,203746.41370002687,220773,197154,204712,166208,194040,176697,218824,199691,194497,201629,190948,186914,196896,209864,184536,211114,224402,216609,218737,205194,7523.659976795393,193138.48595208817,6809.734302519017,205136.98195765965,177257,176361,205161,204943,199504,192395,203925,212659,196055,190432,200451,202099,219235,192927,199978,193316,202252,212757,199842,141028,5611.0479159156075,197364.3606412521
R7,6815.473592821719,197307.04357573637,211713,204904,213114,193191,205945,196558,193132,204275,212631,211751,189611,185815,190298,201720,213457,191321,214238,192497,194546,185227,6293.931745810065,213593.37493161194,6535.43718576326,217887.30648647877,204413,203438,220885,200137,187842,208747,142195,203159,192393,214466,200304,205803,212480,207276,210066,127203,174140,227497,193873,177775,5352.8402323293085,195130.695611979
R8,6304.904877052885,199825.2409568967,207363,187761,188205,208853,188084,197822,192563,178988,174121,214533,193106,201763,188791,186658,220943,193913,194187,198637,191971,218729,7291.064036741783,194347.2971943385,6759.7872202131575,211380.18084305536,202529,215026,203826,202904,194301,194116,169936,213154,221351,177202,204626,199532,211071,216459,203734,206893,211669,182097,175540,190270,6808.391709195661,185973.47734999668
R9,6427.869444594911,204319.51188399055,194860,208611,216807,202124,203208,133438,200879,202498,214921,186439,204606,214108,200866,220340,192015,212882,181467,238295,200167,186485,7485.818697912377,212413.64675539747,6898.132286463094,210138.81736363654,196898,194121,200512,212586,197549,200589,213700,182608,208750,198981,204317,91596,217509,200285,188228,194779,189586,198542,187356,20673,7323.6712560753385,183703.65788155698
R10,6599.84670308315,208990.1612692175,208712,203258,200653,231024,197503,210915,192190,194127,208722,208391,224659,197940,207546,210286,209963,188215,216922,195444,214961,193105,5696.30139599587,205647.11199492906,7820.564141882727,202216.89254898168,233366,193900,188282,220728,199623,209428,209484,192527,231377,205785,204267,199817,211474,202181,188663,206612,205680,215796,136923,205087,7137.6181017197905,207273.64670954863
R11,5810.298388504155,194686.19426948272,201390,193922,187973,221718,204224,211060,207456,95907,227213,197183,217161,189106,195499,225836,192289,162405,187041,199123,186188,177921,7067.18597252325,191634.28246493207,6091.230307707878,192751.50754105492,213833,197300,213634,225707,209378,210252,194298,204666,215484,199802,200714,195379,188370,192638,194303,205420,212324,196257,191742,201758,6428.663057812715,204840.51802024577
R12,6017.38620304168,185999.66568969918,203999,223552,218151,219057,198686,211461,204707,200192,188885,210166,213175,191665,210572,205839,203468,219930,221265,194275,177987,199286,5432.441021587679,179940.49034878256,6908.243634566355,204025.5133205776,195481,202024,201323,182928,194691,201285,173431,234103,177409,207194,216846,213864,193543,206152,193977,210345,179362,204994,210693,205982,7566.518021329948,183393.61336369594
R13,7232.462652815625,205711.53147373648,203823,194878,198604,203724,206033,205409,226570,204496,230285,196331,214737,184462,211127,190656,220171,201458,216382,204037,218213,195907,5472.537798598491,192414.95185768857,6843.72796708557,182581.037088345,181323,188477,188891,177854,179365,187730,197638,16748,215229,190827,198099,211132,192924,194728,210475,193393,226064,183832,52820,197442,6178.748905331249,201248.65779990677
R14,7306.2155059090355,187105.77760240462,204650,215136,202614,213897,193692,186110,197632,200940,201565,189376,181284,192773,204013,201957,197556,206462,208237,208060,195093,203084,5999.980139218554,192471.17677459324,6449.802970117111,191899.02886918758,187949,218407,175469,211047,195475,208963,219039,203636,210172,18699,219896,151091,185141,201097,192657,216728,192413,207055,181058,186704,6421.629904737787,207712.175578781
R15,5807.193806251759,199255.7109023886,218048,204896,189272,213798,208612,186664,197332,200093,217499,182145,205084,206279,225579,200700,260048,209369,200606,201537,193918,203613,5353.719772276695,204710.38006581864,5684.925887722335,208803.6169829578,210276,192592,217570,219556,193351,189906,207208,202271,197755,192531,195428,176095,203862,200850,213142,184300,184394,202198,194447,189899,6138.082453546188,187203.5297815026
R16,6063.643925186954,189809.8672235515,207474,185476,212407,191426,201211,216239,201825,230408,203183,193523,212735,187454,184476,205815,168267,203537,184263,205176,208249,204906,5823.132765644006,195788.23731289967,7042.434456509634,185791.85230847923,152934,159910,203371,211381,194042,208682,57284,179082,187717,216133,189201,185311,202516,215184,193301,203952,204173,189434,208654,225013,7417.353241942771,184889.73318078057
R17,6215.481357529741,197950.56259888047,204079,190288,212538,182668,208760,232117,140934,206273,200430,199252,196144,210371,217263,183918,209411,210164,211481,285745,209972,197885,4597.112011872086,183037.11784395855,6274.706360094412,206384.5823128693,192362,202540,199388,189043,208210,195658,200208,185801,195071,202416,228347,217756,193173,197653,194900,202334,215072,182927,202195,196097,6547.884139020605,210006.46217933623
R18,7062.767601358549,199364.96230626004,208101,237811,195554,192944,185173,193013,189219,201351,198692,205309,205123,216218,197228,187588,199399,189785,201109,174225,199092,199030,6246.779091024063,210486.22559744093,5494.5201322457015,189153.8937544033,113659,170737,190313,230327,277352,188190,185344,204338,238160,237942,186509,181448,100330,189489,187624,170208,201388,186547,210115,204921,6260.050424407098,205338.01942721236
R19,6912.174392662177,206539.12530197008,198748,202894,197885,200349,191017,198568,206138,201967,203141,211439,193271,185126,176058,165400,216940,163093,199302,193779,206165,205259,6216.608823668402,207131.7461212497,5501.52903783398,181339.18020039934,218858,156592,203144,181081,189556,182660,196987,194508,172815,186928,189327,189610,203778,198071,173959,138100,172920,149583,214374,190129,6093.852023956951,204657.88091634036
R20,6249.781764132985,197694.23400836956,188360,190231,211242,175994,184238,194759,192899,197194,211121,209138,198251,177193,227840,165872,194111,212561,205236,200051,200910,200645,6476.482291963917,190396.91592558313,5718.450037755625,202794.03268202252,188794,196721,180813,195645,200962,215129,234002,174554,186298,202324,196590,185059,198616,202011,185176,191863,225966,202059,194092,205999,7172.303085510849,198220.72064589767
R21,6690.413747453794,204002.34739980462,213749,192411,184665,208312,202700,205081,213497,215697,36074,198557,216311,210827,189684,190268,186746,171752,147917,207659,185033,196182,7398.378045336088,190103.6850360853,6685.751952281022,188228.37122303183,170226,194931,215528,187567,199924,198993,203404,196457,195762,191301,188930,215399,194828,205701,201529,69900,174666,205159,195809,191666,6420.582955189956,194133.86478426008
R22,7713.458975364809,206533.29727741476,214626,220207,203821,196262,166363,227437,211081,215281,201398,203851,185517,180742,210904,182272,171992,204948,203352,175352,211931,177788,6266.1628870348995,194256.3925945052,6134.010499395885,189114.8581503391,203440,189753,193231,201392,206676,193767,209129,173707,193473,194132,201589,180283,210299,194497,175095,212896,203435,285253,204932,179467,6040.962929510228,193095.38611905026
R23,6931.150253791309,211973.56760414757,180986,186810,199923,199228,179060,210575,218449,191991,213282,197465,193471,192472,195615,191597,198759,197801,193634,191470,215817,192921,6940.8938868161,200407.53590046678,6732.400133298224,214430.10613256166,176558,200990,199680,205982,204869,199247,203300,75367,209233,196235,196015,214170,227783,202680,219778,217102,230004,217045,248691,192223,5144.975388509135,202062.20752241634
R24,6062.0683569558705,194182.91658808963,206996,176681,179595,203243,147133,211790,168014,203269,214104,205185,207406,186837,193934,201726,183091,206825,167767,193955,200250,207366,5065.3338568789295,206518.13741165,6285.478033440868,198225.7859174281,195254,178772,223732,208745,189381,196743,201664,167819,194081,211241,207496,208077,201316,197374,164284,196296,187124,210209,201125,209505,7554.743817151596,216908.57663165277
R25,6868.565903042938,212429.24927909116,188339,188103,205606,195305,204565,198197,209218,199163,192060,194081,190282,192940,207466,209190,201894,188008,193084,202646,206590,207545,5509.835968058306,202131.18754293647,6321.639846312789,182362.8429977744,182554,238009,205653,166390,187020,198845,186162,192430,210912,174838,209794,198336,209011,188717,206376,201438,206117,197186,191245,214221,7095.277522817164,192307.4081985807
R26,6419.169947015076,199402.3215083062,222047,201758,217129,190236,208312,207418,200098,211026,197520,195395,193035,198290,193409,187453,199850,187687,216731,207741,178283,193500,5932.594489802497,185310.10703117494,5888.32516785712,203908.08084756616,187963,200115,193071,193050,178293,201808,194201,209872,207504,204027,193761,198288,205460,188957,193360,200718,212395,213956,210589,199705,7318.470313150059,194559.08941655105
R27,6621.135250928598,195315.34377831366,201449,211018,196553,200284,194063,176613,227461,226469,183780,194865,181655,189707,224356,185101,213401,191399,198161,237973,179771,181860,6570.261126013231,198665.63635185396,6513.763177832692,173408.7436961887,206753,214878,208520,190183,192217,202439,173331,186499,208972,174914,202054,195754,188701,208051,157709,191265,197111,172757,183646,179249,6707.9280104795525,194866.47870526012
R28,7914.15882189382,177564.79254859468,197489,197630,255917,203871,202795,202652,192043,177389,183315,179561,213822,213358,211782,186955,191617,190055,195981,94525,200137,218177,7179.735267390649,204437.46599581768,6308.554064621749,210389.94374441152,204047,212035,222371,197409,198981,204050,178334,180432,203858,195808,188922,191394,216069,214132,198947,207075,178541,215126,215681,196041,7238.245906417111,218410.24052771388
R29,6918.337968643551,195372.2016729092,217517,212221,191384,223019,196531,191176,182873,218098,177552,216692,199795,207789,199074,212961,193840,206835,210552,215899,201786,165815,6708.580659206666,198919.5777719224,7090.183261881993,186849.48513827543,199500,189079,196599,185758,173278,257679,200686,213502,223432,196291,218144,188530,196744,205526,211382,207014,183481,191328,206955,216034,7621.630119095439,204890.29698362038
R30,5450.545177767587,209661.61919494232,185651,210559,204493,202736,190070,187292,211715,189406,199331,194853,193397,222822,207823,200422,205184,178827,215197,203076,193254,205398,4663.655030449256,215814.6185815796,6978.218171780659,220221.52400479818,187746,217071,183820,56781,199716,186572,201698,194685,215285,186779,186345,184809,211029,206552,203635,198305,215064,222101,214790,187569,6457.021728334568,204449.7784416185
R31,6931.23550845451,198086.19455186444,201360,221769,212826,204329,187769,160708,209149,198877,194523,215854,209463,209428,204702,208720,205493,206562,191586,174314,209278,190313,6739.802260649755,212376.50646871811,7414.966566891812,200768.81846552622,59018,202337,192009,206609,214544,211694,201604,188614,184386,223890,220885,187800,210387,208415,193426,198232,189172,202596,203863,204465,5657.448094388835,207572.08169358075
R32,6197.603275464001,213239.11750627184,205459,206854,191006,225557,195372,214168,195067,194188,193258,201051,220879,200002,207065,218012,192520,190539,222301,183508,210234,208298,5592.524776483274,208213.20246205214,5965.190157152905,196517.61169445966,202859,187144,204464,180157,177613,219540,214220,217967,196547,211244,210318,178223,218423,184497,189582,187385,194696,228870,197772,195075,6989.754982919764,190505.52084657043
