ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R1,6431.701046777731,177418.54402534213,190772,206607,195067,216863,189030,187297,198490,242553,202981,210569,196172,211028,215936,23644,187898,193914,218032,202571,213487,191950,5665.590346750655,202535.2986538096,6169.174823843519,193097.86273264547,200943,196185,209706,200213,190193,183003,186632,203912,202939,204877,194051,201848,209363,187404,195754,193408,185820,205841,195791,217786,6150.310479789377,208557.09785899337
R2,6768.779698113715,208856.3684736495,222663,185398,199306,197461,191497,197324,229557,216293,188428,197017,196544,206933,207725,207123,121403,208999,189398,207431,83368,217821,7121.003334575771,199752.16983448114,5967.267433124354,192184.40385630098,183060,222553,206022,223596,199558,212930,201635,185824,207505,185017,129116,194731,205147,176677,204680,195509,217743,198891,186541,17614,6222.224476963759,200894.95179178522
R3,7075.603456231516,201996.68617347378,192703,202439,223906,186264,182938,198809,175859,196840,205829,208454,187639,188872,195663,204704,229336,206596,144475,195957,197130,228171,7151.865690222171,197963.7008386507,5647.862800378605,199074.70633140614,165735,208669,209451,14175,179804,209637,205910,195659,181713,189088,209944,185760,184359,190940,181852,186045,179483,184591,204380,192448,6574.968969564654,201790.92387208523
R4,6504.141687886665,211315.0845412694,185039,198232,175544,197726,216249,196276,190820,200225,185375,208316,200410,200469,207980,191620,194060,202556,196569,113795,188407,182538,6426.06977118402,204880.15281318096,5905.089075411247,202163.31897388765,199215,198491,195452,195775,214357,187405,163713,193084,211577,213519,62260,190236,179564,207330,214573,210218,212390,193756,203893,221189,6823.924894537544,194596.1195317575
R5,6038.968423025666,187010.3721225897,191748,192654,221876,188181,182315,171835,21410,180672,194425,201413,189741,190557,193094,186241,204891,190407,200878,191321,76402,208786,6037.704933342547,200300.86239570187,7728.939004599901,192724.09337659713,190942,222137,212581,198361,231414,203554,195906,204151,184133,215980,190390,194236,207656,205044,210179,181132,172685,220112,184812,186449,6463.216699972922,203300.97324333168
R6,5644.677924391039,207930.07389324787,200197,209674,206184,187300,193568,178580,182399,184490,207725,176057,205232,202438,183582,207483,227398,191404,175999,186252,201576,211258,5800.254263177059,204311.89942067448,6960.313428595604,190288.20326433168,212063,268643,202025,186309,180394,209336,176724,195486,190069,209178,138525,186789,190706,199636,216578,187652,196559,217058,240541,203788,6226.406398043171,171266.09507397423
R7,6084.632546731667,207918.7481091811,185660,196667,179696,189468,214050,165917,204905,183312,192180,199631,208193,198117,216762,240379,195431,177938,196704,189096,260771,101812,6122.146331995969,201972.0182746171,7459.5897842060685,204045.06002770655,180130,210271,177855,201858,207918,213230,187062,208893,177271,230919,191980,196207,191261,191026,220439,184221,204376,190491,191252,196217,6888.746354646151,220684.4435090404
R8,5052.74034782211,207131.05671464524,193863,182690,205774,209227,189318,182264,179822,184940,209948,198653,225971,181533,176759,199392,227373,187072,203006,232981,186073,207115,4438.7908691444845,217704.06343860948,6291.817943484395,187698.76165379764,225519,191594,196703,193076,198702,200436,184734,204843,189860,225065,205246,223962,186934,222586,13599,199675,212358,190325,228355,194962,6256.8218564575045,220178.5313811281
R9,5802.428935106723,209905.2894471327,187030,175049,202451,205237,209133,222965,218608,189548,218261,185362,196529,192410,178178,222244,221588,193523,205448,177980,211437,203271,6940.740957817277,211176.62103653039,7867.988805703213,212228.7524008202,94304,199206,223721,193476,196536,199852,215260,193601,202797,217824,195790,172091,183673,209406,187759,198880,54961,184027,199956,210761,6671.140926606599,182807.8710291545
R10,5671.798052251559,184470.64101138094,182067,168424,207887,198689,200275,210322,202504,231203,222194,192360,189529,177273,197350,197615,207065,202878,177751,217763,191705,207844,6641.128242494742,191140.47220909517,7781.798226593897,208366.35778961531,181659,200278,183575,219847,190644,209250,212083,211508,211389,203771,209171,200139,202134,225906,206115,284637,189281,190315,222841,205710,6189.173581709489,195094.4627419493
R11,6271.206241351343,208891.96030105656,172512,195346,210927,173331,212846,206373,205583,208370,224547,187403,218868,193511,189231,205979,191381,210005,206532,210306,199668,198399,7259.719443916061,196601.9850970661,6704.614524682191,202191.5034034606,217376,193385,197347,203713,216045,186009,211311,190270,200273,230461,208768,212605,190860,184461,238572,196065,215486,204797,200283,212447,6986.525433852307,171245.6895950757
R12,7186.6890986270855,200304.36038474648,197789,97896,222135,215268,214217,195678,194621,207357,197254,215496,213268,197470,191877,185714,189619,221345,126247,204069,207234,190997,7738.424642970519,194746.96371062569,6879.087440804406,185047.89705003652,199341,198792,180131,194093,164371,209810,199009,193372,192795,225035,188824,201554,209100,198315,175662,207820,212630,214027,219964,181781,6734.554596294227,189154.94562547602
R13,7002.243251580178,184829.39231580385,214244,185221,222664,221535,187481,198711,205647,196047,221375,182248,193690,190109,205667,198354,215311,182318,194959,204575,110753,210262,6359.828819365528,218575.86331737525,7204.625432854756,189329.24236524315,208404,200791,198421,209873,201612,189960,206692,189177,221739,201105,199702,190543,188650,208913,198856,196242,213618,203678,194330,193015,6348.098538523923,199821.17061871887
R14,6861.122390699313,198663.4574689033,202038,181318,181154,178693,174009,216265,208255,184972,177181,12326,204950,206809,191368,235361,201795,169482,189479,189231,35335,203124,4966.644945874563,207046.1034602433,5995.1342763793955,199243.13021088956,180885,192188,184127,193911,198310,166999,190255,181098,208740,214371,202504,203086,222370,217535,223345,191560,205924,200611,206515,185096,6809.745746386411,169236.60553417454
